window_hours,from_utc_approx,to_utc,selling_addresses,empty_addresses,remaining_tokens,sold_tokens,sell_pool_ETH,if_all_remaining_sold_net_ETH,if_all_remaining_sold_price_change
0.3333333333333333,2026-09-16T02:02:37+00:00,2026-09-16T02:22:37+00:00,59,52,257709.44368109648,627337.104441122,64.90119636853015,25.311571735760392,-0.013655471318040124
2.0,2026-09-16T00:22:37+00:00,2026-09-16T02:22:37+00:00,280,228,1111566.269178843,5800579.620206266,643.0285424711636,106.75002692610813,-0.05700661537096219
6.0,2026-09-15T20:22:37+00:00,2026-09-16T02:22:37+00:00,504,404,2343123.8637286224,8623452.805332154,984.948431354611,218.03059535063178,-0.11473928181356763
24.0,2026-09-15T02:22:37+00:00,2026-09-16T02:22:37+00:00,2214,1837,7435130.132592615,43516369.94594774,6020.6207604161245,613.0053086702599,-0.30512651543881675
