hours,buyback_ETH,tokens_bought_and_burned,share_of_recent_seller_inventory,spot_return
1,6.461678438577122,60774.994502559304,0.025937593587497254,0.003293854700311627
6,38.92989863287463,363155.892480962,0.15498791937660117,0.01992347023025176
24,100.65147935051979,924534.3842966221,0.394573414836639,0.05191568030750382
48,110.8361775178663,1015518.3026340157,0.43340359353347085,0.057240037809096256
