charter_id,depositor,tokens,pre_snapshot_wallet_inventory,new_canonical_acquisition,new_other_custody_or_mint,tx,block
888,0x187500818fd3ba83270d546921abf44ede7fdde6,23692.56,23692.560000000005,0.0,0.0,0x85267a7c4ada1540bb38865482592472483ef83924464fca86a02e044fde3f34,64101292
621,0x9c58d138adf9cb3d048d96b102c6ab4fb1b98594,23686.36020736745,23686.36020736745,0.0,0.0,0x6f895dca2394a65d11fed12dd0db68fbbecdc406539d41c4c49c2aa6f9b739ec,64101323
277,0xc091c59489accde50de0ccdf1eddf6c5e5257678,23683.670000000002,23683.67000000001,0.0,0.0,0x1a9efd8c6f264542eeeb5c8a3c907b03204ffff9be6d2d1fa8f08e5d0818186d,64101390
555,0xc2b2c36cf33d6cffb562c2ede97e1dcd721a2c1e,23660.775868541492,23660.775868541492,0.0,0.0,0x18abb2a317bd1f32e7b865b0a041559d01cbc93e1c623b9c8fff2e0793ebcb9e,64101407
308,0x9f84fcd4528e85301892b7396cb50408ac56e7ee,782.96,0.1006857528163658,0.0,782.8593142471836,0xc3471b82b088724d244d6582f72dd1c461a4abd868c82c8f2c20f431c3f3e0a1,64101427
952,0xdb93342558502d4f522e774eac55d71bff8e6130,23049.0,14897.029026680662,0.0,8151.970973319336,0x7f3401232fed148beeff749b331ea4ae26bfce507d9b5155a808b263914523f5,64101442
669,0x9fcd5fa9d5016f54ff5c87b1b5b541c96d80058f,23650.960000000003,23650.960000000003,0.0,0.0,0xcdf4f652a13420ee6bc519c86fe0b7625c727b38b0e95263fa4ee00f3d2e3dc6,64101500
704,0xe676ca06283d7340611f70e90bcb0402a982ee5c,23041.55,0.0,23041.550000000003,0.0,0x84316c9cea9a919971cd53216d40fded399af53145aebd3f2d4786319a964579,64101630
744,0x01b88308e0cc94d103cc255fd12569f0ef8ba8fb,23654.5,1548.5573132800541,22105.94268671995,0.0,0x4c472e0fb2ca057d6c797ba2c589ef700126f415902456f483f5a3751395c6a2,64101648
826,0xcfb1495fc39a4bd101ada0f4c81754671f24843f,23022.989999999998,23022.989999999994,0.0,0.0,0x0daafdcd13dd46c2be784f64a2ce7d747f56b9f8f1b25d20bfa32554120fd468,64101744
669,0x9fcd5fa9d5016f54ff5c87b1b5b541c96d80058f,23637.77,23637.769999999997,0.0,0.0,0x6a78f0bfc13712ff287b2908621b769a0a5fdbb88fd92dfe83279ffa0a2d1bde,64101745
946,0x01b88308e0cc94d103cc255fd12569f0ef8ba8fb,23628.02,1123.7441125842881,22504.275887415715,0.0,0xab6a338297ec15847b2448b4e16d87ce825915d684e79e1f39e8719410864bdd,64101818
75,0x7329c3685bedf5eb54fe1e067022f50bb40cbb52,23014.83,23014.829999999998,0.0,0.0,0x7bf5c0db969487029bbda5070598d8fc4522048c8d9fcaad608a2880115b7393,64101849
946,0x01b88308e0cc94d103cc255fd12569f0ef8ba8fb,23613.235099201895,171.3171750245124,23441.91792417738,0.0,0x2f5cc3b62f862864b94def93942843a2b2c443dc1416ac798ed3f565fbaf9cdb,64101976
362,0x737ce2f1d80b30ae6ec72d86bd6fc048fff0d5e9,22750.999999999996,22751.0,0.0,0.0,0x3a578e6c24bd49e58067da5368177459749ba90728379c5a6ff9c454501e7fd9,64104381
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,78074.0,78074.00000000001,0.0,0.0,0x41acb55c91b1547552cfcc8d1ecbc83476ae0abdfb6309f276f8b3ff377cbcfb,64105216
308,0x9f84fcd4528e85301892b7396cb50408ac56e7ee,1075.0,0.13824101394399874,0.0,1074.8617589860562,0xb6e0db762518ba26c0397bf3cc24bf8dad7ff2c663599897e71c9d217e52b581,64107233
306,0x73590e94973f18f3b8715c2a852f3c13db42af2f,21748.425380113338,21748.425380113338,0.0,0.0,0x16d8143cd7cab11c8099559b2f4428c9726469fce02edc0e20eb3b66931a3486,64113755
278,0xef7f2e81ea14538858d962df34eb1bfda83da395,20232.260000000002,70.20462747995079,5.718545625603708,20156.336826894447,0x11935fc0535d2f9a12cb5a4143b697fbf1c2eedd90d702b3a0cb10c97d9bef73,64129199
119,0xf90cf0b88623a340c9c610718ffeb6f3c41572a2,200.0,41.69615801202197,2.3027711430281346,156.00107084494994,0x570c2decf221144ad84860034a9a7d9b95788c89945fa97350845c7558685dda,64140545
264,0x6ba9ad599e6271252817933831e3148936cf742a,18762.01,144.81084805376625,8.4794063469796,18608.719745599257,0x90a2d4c6881a3bfa6af33a9e1213be0d8ddfe9e0eb45c699e5e72ba60371dcac,64159404
